,ticker,company,date,year,compound_score,neg_score,neu_score,pos_score,tweet,quarter
0,MMM,3M Company,20180630,2018,0.0,0.0,1.0,0.0,3M Co (MMM) Holder Walter &amp; Keenan Financial Consulting Company Upped Holding ... https://t.co/wbJSJCYx7G $MMM #stocks #stockmarket,2018Q2
1,MMM,3M Company,20180629,2018,0.0,0.0,1.0,0.0,Vaughan David Investments Has Decreased By $1.06 Million Its 3M Company $MMM Position; 5 Bullish Analysts Covering… https://t.co/idfLXgSRoP,2018Q2
2,MMM,3M Company,20180629,2018,0.4939,0.0,0.856,0.144,Davidson D A &amp; Company Lifted Its 3M Co $MMM Holding; Nelson Van Denburg &amp; Campbell Wealth Management Group Has Tri… https://t.co/1i8cpac2Fc,2018Q2
3,MMM,3M Company,20180629,2018,0.4939,0.0,0.849,0.151,"Blue Bell Private Wealth Management Has Raised 3M Company $MMM Holding by $427,050; Stock Price Declined; As Watts… https://t.co/GihsOcYJos",2018Q2
4,MMM,3M Company,20180629,2018,-0.296,0.136,0.864,0.0,China Rapid Finance $XRF Gets Morgan Stanley Lower Rating; 6 Analysts Bullish 3M Company $MMM https://t.co/C837jz0KHJ,2018Q2
5,MMM,3M Company,20180629,2018,0.0,0.0,1.0,0.0,EPS for 3M Company $MMM Expected At $2.63; Agenus $AGEN Sentiment Is 1.46 - https://t.co/4aSAwJtCub,2018Q2
6,MMM,3M Company,20180629,2018,0.128,0.107,0.761,0.132,"Focused Investors Cut 3M Company $MMM Stake By $1.77 Million; Last Week BlackRock, Inc. $BLK Analysts - https://t.co/En52t8wzjc",2018Q2
7,MMM,3M Company,20180628,2018,0.0,0.0,1.0,0.0,"As 3M Company $MMM Stock Declined, Cs Mckee LP Has Trimmed by $602,250 Its Position; Brookmont Capital Management T… https://t.co/SNci8USlMX",2018Q2
8,MMM,3M Company,20180628,2018,0.34,0.0,0.876,0.124,"As 3M Company $MMM Market Value Declined, Jensen Investment Management Has Raised by $706,932 Its Position; Sheets… https://t.co/LPzI62YsHL",2018Q2
9,MMM,3M Company,20180628,2018,0.0,0.0,1.0,0.0,3M Company $MMM EPS Estimated At $2.63; Revlon New $REV SI Decreased By 13.61% - https://t.co/a3cZunKQgj,2018Q2
10,MMM,3M Company,20180628,2018,0.5106,0.0,0.845,0.155,"Chemung Canal Trust Company Has Trimmed By $420,699 Its 3M Co $MMM Holding; Prosperity Bancshares Has 0.95 Sentimen… https://t.co/cSsDmUmZvQ",2018Q2
11,MMM,3M Company,20180628,2018,0.0,0.0,1.0,0.0,"As 3M Company $MMM Valuation Declined, Osher Van De Voorde Investment Management Decreased Its Holding; Osborne Par… https://t.co/Tv0Fs1yotG",2018Q2
12,MMM,3M Company,20180628,2018,0.296,0.0,0.891,0.109,Murphy Capital Management Has Trimmed Its Mmm $3M Company $MMM Holding as Share Price Declined; Cavium $CAVM Positi… https://t.co/ASljeGViMW,2018Q2
